Name,Address,City,Zip,Date,Score,Type,Lat,Lng,kind,external_i,name_1,slug,set,metadata,resource_u
La Canada Flintridge,4800 OAK GROVE DR #303,PASADENA,91109,06/27/2013,94,Restaurant,34.1986494,-118.174585,L.A. County Neighborhood (V6),la-canada-flintridge,,la-canada-flintridge-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""La Canada Flintridge"", ""region"": ""verdugos"", ""county"": ""l",/1.0/boundary/la-canada-flintridge-la-county-neighborhood-v6/
Montebello,1440 W BEVERLY BLVD,MONTEBELLO,90640,06/27/2013,80,Restaurant,34.0188222,-118.113637,L.A. County Neighborhood (V6),montebello,,montebello-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Montebello"", ""region"": ""southeast"", ""county"": ""los-angele",/1.0/boundary/montebello-la-county-neighborhood-v6/
Montebello,2302 W WHITTIER BLVD,MONTEBELLO,90640,06/27/2013,96,Restaurant,34.013998,-118.125531,L.A. County Neighborhood (V6),montebello,,montebello-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Montebello"", ""region"": ""southeast"", ""county"": ""los-angele",/1.0/boundary/montebello-la-county-neighborhood-v6/
Studio City,4024 RADFORD AVE,STUDIO CITY,91604,06/27/2013,99,Restaurant,34.1444892,-118.3929058,L.A. County Neighborhood (V6),studio-city,,studio-city-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Studio City"", ""region"": ""san-fernando-valley"",",/1.0/boundary/studio-city-la-county-neighborhood-v6/
Studio City,4024 RADFORD AVE,STUDIO CITY,91604,06/27/2013,90,Restaurant,34.1444892,-118.3929058,L.A. County Neighborhood (V6),studio-city,,studio-city-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Studio City"", ""region"": ""san-fernando-valley"",",/1.0/boundary/studio-city-la-county-neighborhood-v6/
La Canada Flintridge,4800 OAK GROVE DR #167,PASADENA,91109,06/27/2013,90,Restaurant,34.1986494,-118.174585,L.A. County Neighborhood (V6),la-canada-flintridge,,la-canada-flintridge-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""La Canada Flintridge"", ""region"": ""verdugos"", ""county"": ""l",/1.0/boundary/la-canada-flintridge-la-county-neighborhood-v6/
Santa Clarita,27027 TOURNEY RD,VALENCIA,91355,06/27/2013,91,Restaurant,34.413779,-118.574983,L.A. County Neighborhood (V6),santa-clarita,,santa-clarita-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Santa Clarita"", ""region"": ""northwest-county"", ""county"": """,/1.0/boundary/santa-clarita-la-county-neighborhood-v6/
Studio City,4200 RADFORD AVE BSMT,STUDIO CITY,91604,06/27/2013,96,Restaurant,34.1462569,-118.3920798,L.A. County Neighborhood (V6),studio-city,,studio-city-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Studio City"", ""region"": ""san-fernando-valley"",",/1.0/boundary/studio-city-la-county-neighborhood-v6/
Unincorporated Santa Susana Mountains,28201 FRANKLIN PKWY,SANTA CLARITA,91383,06/27/2013,92,Restaurant,34.4343541,-118.6297471,L.A. County Neighborhood (V6),unincorporated-santa-susana-mountains,,unincorporated-santa-susana-mountains-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Unincorporated Santa Susana Mountains"", ""region"": ""northw",/1.0/boundary/unincorporated-santa-susana-mountains-la-county-neighborhood-v6/
Boyle Heights,2811 E OLYMPIC BLVD,LOS ANGELES,90023,06/27/2013,99,Restaurant,34.023421,-118.2171919,L.A. County Neighborhood (V6),boyle-heights,,boyle-heights-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Boyle Heights"", ""region"": ""eastside"", ""county""",/1.0/boundary/boyle-heights-la-county-neighborhood-v6/
Glendale,1755 W GLENOAKS BLVD,GLENDALE,91201,06/27/2013,96,Restaurant,34.1725235,-118.2909821,L.A. County Neighborhood (V6),glendale,,glendale-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendale"", ""region"": ""verdugos"", ""county"": ""los-angeles"",",/1.0/boundary/glendale-la-county-neighborhood-v6/
North Hollywood,"5560 VINELAND AVE E&F;",NORTH HOLLYWOOD,91601,06/27/2013,90,Restaurant,34.1549764,-118.3775955,L.A. County Neighborhood (V6),north-hollywood,,north-hollywood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""North Hollywood"", ""region"": ""san-fernando-vall",/1.0/boundary/north-hollywood-la-county-neighborhood-v6/
